WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,RainSumMM,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
34,229,,3627000,36270,4875,176829000,3227,61,0,1089,0,26,0,73,,3227,61,0,1089,0,26,0,73
35,230,,2063200,20632,2016,41604500,896,1669,55,1058,308,871,15,1056,,896,1669,55,1058,308,871,15,1056
35,231,,319800,3198,2479,7926270,214,232,0,271,11,154,0,116,,214,232,0,271,11,154,0,116
35,232,,100700,1007,2769,2788060,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,233,,187900,1879,2859,5372490,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,234,,1809100,18091,3374,61044400,1210,382,0,1096,0,173,0,182,,1210,382,0,1096,0,173,0,182
35,235,,31700,317,3916,1241360,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,236,,13500,135,3975,536644,32,3,0,14,0,1,0,2,,32,3,0,14,0,1,0,2
35,237,,108100,1081,4139,4474480,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
35,238,,1759400,17594,4479,78805100,2036,66,0,738,0,10,0,44,,2036,66,0,738,0,10,0,44
36,239,,160200,1602,1876,3004560,0,294,61,16,178,106,43,314,,0,294,61,16,178,106,43,314
36,240,,1263900,12639,2243,28344700,669,1372,25,650,670,1013,50,1138,,669,1372,25,650,670,1013,50,1138
36,241,,207700,2077,2774,5761400,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,242,,1271600,12716,3135,39864000,3036,590,0,2862,18,378,0,202,,3036,590,0,2862,18,378,0,202
36,243,,172100,1721,2791,4803980,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,244,,23800,238,2686,639305,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,245,,1265700,12657,3165,40062700,2370,368,0,2159,0,144,0,120,,2370,368,0,2159,0,144,0,120
36,246,,857100,8571,3304,28319700,2508,328,0,1958,0,115,0,116,,2508,328,0,1958,0,115,0,116
36,247,,464500,4645,2040,9473570,942,1114,4,1383,411,1386,3,980,,942,1114,4,1383,411,1386,3,980
36,248,,318500,3185,2359,7512400,334,407,0,499,55,470,0,313,,334,407,0,499,55,470,0,313
36,249,,218400,2184,2272,4962170,353,256,0,512,33,418,0,209,,353,256,0,512,33,418,0,209
